name,city,price
happy lemon,Berkeley,$$$$
sweetheart cafe,Berkeley,$$$
happy lemon,Richmond,$$$
mochinut berkeley,Berkeley,$$$
caravaggio gelato lab,Berkeley,$$$$
tay tah cafe,Albany,$$$$
organic greens | berkeley,Berkeley,$$$$
yogurt park,Berkeley,$$$$
humphry slocombe - berkeley,Berkeley,$$$
menchie's frozen yogurt,Berkeley,$$$$
biju bubble tea room,London,$$$
bobajam,London,$$$$
bubbleology,London,$$$
chatime,London,$$$$
gonuts boba tea,London,$$$$
coco fresh tea & juice soho,London,$$$$
yi fang,London,$$$$
good friend,London,$$$$
woo tea,London,$$$
chatime,Terrace,$$$$
quaker street cafe,London,$$$$
yunique,London,$$$
bubble magik,London,$$$$
bubbleology,London,$$$
bubble magik,London,$$$$
nosteagia,London,$$$$
jen cafe,London,$$$
up...t,London,$$$$
bubbleology,London,$$$
cuppacha bubble tea,London,$$$
yifang taiwan fruit tea,London,$$$$
xing fu tang,London,$$$
t4 tea for u,London,$$$
mooboo - bubble tea,London,$$$
coco fresh tea & juice london,London,$$$
kova patisserie,London,$$$$
candy café,London,$$$
kova patisserie,London,$$$$
machi machi,London,$$$
bubbleology,London,$$$
bubbleology,London,$$$
silver moon chinese tea bar,London,$$$$
chatime,London,$$$
happy lemon,London,$$$
bubbleology,London,$$$
chatime,London,$$$
mont ruby tea,London,$$
bubbleology,West End,$$
pocha london,London,$$
bobajam,London,$$$$
bubbleology,Dartford,$$$$
mimo tea,Brisbane City,$$$$
tea etc,Brisbane,$$$$
chatime,Brisbane,$$$
mr tea bubble tea,Brisbane,$$$$
hazel tea shop,Surfers Paradise,$$$$
allyway,Saint Lucia,$$$$
tea bar,Indooroopilly,$$$
sakuraya,Eight Mile Plains,$$$
quenchies,Springwood,$
gong cha southport,Southport,$$$$
heeretea,San Mateo,$$$$
lilikoi boba,Burlingame,$$$$
tp tea,San Mateo,$$$$
ume tea,Burlingame,$$$$
ume tea,Millbrae,$$$$
boba bless,San Mateo,$$$$
urban ritual,San Mateo,$$$$
happy lemon,Burlingame,$$$$
pink pink tea shoppe,San Mateo,$$$$
tpumps - burlingame,Burlingame,$$$
sharetea,San Mateo,$$$
tiger tea & juice - san mateo,San Mateo,$$$$
teaspoon san mateo,San Mateo,$$$
bambu,Millbrae,$$$
bigz boba,Burlingame,$$$
bambu,San Mateo,$$$$
teaever,Millbrae,$$$
sweet indulgence,Millbrae,$$$
mints & honey,Burlingame,$$$$
raretea,San Mateo,$$$$
shuyi grass jelly & tea,San Mateo,$$$
simple one cafe,Daly City,$$$$
mr. green bubble,San Mateo,$$$
tpumps,Foster City,$$$
happy lemon,San Bruno,$$$
yifang taiwan fruit tea,San Mateo,$$$$
somisomi,San Mateo,$$$$
the partea girl,San Mateo,$$$$
quickly,San Bruno,$$
sweet moment,San Mateo,$$$
happy lemon,Foster City,$$$
ten ren tea company,South San Francisco,$$$$
ya-ua yogurt & boba tea,Belmont,$$$
waterfront cafe,Burlingame,$$$$
la matcha cafe,Burlingame,$$$$
tong sui,San Mateo,$$$$
dessert republic,San Mateo,$$$
deja vu,Burlingame,$$$
jolly's old-fashioned teas cream,Burlingame,$$$
meet fresh,San Mateo,$$
boba guys at local kitchens,San Bruno,$$$
sizzling lunch - foster city,Foster City,$$$$
quickly,South San Francisco,$
uncle tetsu,San Mateo,$$$$
sugarcane hq,San Bruno,$$$$
snacks,San Mateo,$$$$
sharetea hillsdale,San Mateo,$$$
icicles,San Mateo,$$$
quickly,Foster City,$$$
bubble bubble tea house,Rockwall,$$$$
boba head legacy,Plano,$$$$
panda tea,Dallas,$$$$
happy lemon,Plano,$$$$
delish bubble tea,McKinney,$$$$
fruitealicious bubble tea & smoothies,Frisco,$$$$
kung fu tea,Dallas,$$$$
feng cha teahouse,Richardson,$$$$
standing ovation cafe,Sunnyvale,$$$$
bobaddiction,Dallas,$$$$
boba + donuts,Frisco,$$$$
king kong boba tea & smoothie,Garland,$$$
ta boba tea house,Commerce,$$$$
bubbleology,Richardson,$$$
redstraw,Carrollton,$$$$
boba latte - frisco,Frisco,$$$$
tp tea,Richardson,$$$$
fengcha - allen,Allen,$$$$
fat straws boba & mochi donuts,Richardson,$$$$
momo magic and more,Plano,$$$$
teavalley,Plano,$$$$
feng cha - addison,Dallas,$$$$
ding tea - mckinney,McKinney,$$$
tealatte bar richardson,Dallas,$$$$
craft boba tea,Dallas,$$$
drip n roll,McKinney,$$$$
lazi cow,Frisco,$$$$
teazentea garland,Garland,$$$$
boba republic,Allen,$$$$
ding tea garland,Garland,$$$$
honey b cafe,McKinney,$$$$
boba tea & treats,Addison,$$$
r&b tea - garland,Garland,$$$
feng cha - rockwall,Rockwall,$$$$
fukuro,Richardson,$$$$
abc boba,Waxahachie,$$$
tiger sugar,Plano,$$$$
hoja bubble tea and asian street food,Plano,$$$$
feng cha murphy,Murphy,$$$$
feng cha prosper,Prosper,$$$$
gong cha,Dallas,$$$$
sharetea,Rockwall,$$$$
boba house by charlie jr,Princeton,$$$$
toridori,Carrollton,$$$$
gong cha,Plano,$$$$
the alley,Plano,$$$$
kung fu tea - prosper,Prosper,$$$
feng cha,Dallas,$$$$
tea2go,Plano,$$$$
hello boba,Allen,$$$$
tealatte bar,Prosper,$$$$
ding tea south garland,Garland,$$$$
magic cup,McKinney,$$$$
happy lemon,Richardson,$$$$
sharetea,Plano,$$$$
smiley cup,Richardson,$$$$
ding tea the colony,The Colony,$$$$
bubble well,Little Elm,$$$$
magic cup,Richardson,$$$$
craft boba tea,Dallas,$$$$
shot tea boba bar,Dallas,$$$$
r&b tea,McKinney,$$$$
tp tea,Frisco,$$$$
sugar pine creamery,Plano,$$$$
gong cha,Carrollton,$$$$
boba city,McKinney,$$$$
tea's memory boba tea,Frisco,$$$$
tealatte bar,Carrollton,$$$$
squishies bubble tea,Dallas,$$$$
the boba plug,Richardson,$$$$
heavenly kup,Plano,$$$$
junbi matcha - richardson,Richardson,$$$$
boba latte,Richardson,$$$
scoop n‘ boba,Garland,$$$$
boba heaven,Garland,$$$$
boba bros,McKinney,$$$
tp tea,Carrollton,$$$$
teaco,Allen,$$$$
his tea,Richardson,$$$$
sucre cafe,Plano,$$$$
7 leaves cafe,Garland,$$$$
boba guru,Plano,$$$
feng cha - rowlett,Rowlett,$$$$
boba licious,Lancaster,$$$$
prickly boba tea,Waxahachie,$$$$
craft boba tea,Dallas,$$$$
fulll,Plano,$$$$
