Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,TradeValue,Quantity,Quantity Unit
Romania,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            307.52,60660.7,Kg
Madagascar,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            303.48,61326.5,Kg
Trinidad and Tobago,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            222.23,56955,Kg
Burkina Faso,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            195.37,1.97535e+006,Kg
Liberia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            145.00,2400,Kg
Zimbabwe,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            124.43,,
Serbia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            104.33,25731,Kg
Cyprus,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,            102.25,20200,Kg
Israel,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             81.00,20417.3,Kg
Nigeria,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             78.74,52900,Kg
Ghana,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             65.24,,
Mali,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             59.94,494000,Kg
Sri Lanka,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             56.26,5196.18,Kg
Mozambique,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             56.00,9067,Kg
Kazakhstan,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             43.55,2233.25,Kg
Bahrain,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             40.12,10635.9,Kg
Morocco,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             38.22,9396.5,Kg
Egypt,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             30.12,7592.19,Kg
Cabo Verde,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             25.72,3020,Kg
Gabon,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             25.57,17760,Kg
Iceland,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             19.40,898.786,Kg
Senegal,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             19.24,6392.05,Kg
São Tomé and Principe,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             18.73,1900,Kg
Central African Rep.,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,             18.10,88325,Kg
Cambodia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              9.94,766.36,Kg
Namibia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              8.91,2595.5,Kg
Macao,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              7.55,750,Kg
Macedonia,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              6.92,403,Kg
eSwatini,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              4.89,3281.5,Kg
Belize,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              2.20,250,Kg
Samoa,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              1.79,113.5,Kg
Lesotho,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              1.65,33,Kg
Paraguay,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              1.36,126.25,Kg
Bosnia and Herz.,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              1.22,176,Kg
Malta,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              0.84,98,Kg
Azerbaijan,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              0.16,28,Kg
Botswana,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              0.16,22.7,Kg
Dominica,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              0.15,15,Kg
Montenegro,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              0.15,21.1,Kg
Fiji,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              0.14,3.6,Kg
Moldova,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              0.08,2.533,Kg
Brunei,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              0.04,2.5,Kg
Benin,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              0.03,12,Kg
Aruba,Export,090111,"Coffee, not roasted or decaffeinated",2023, World,              0.02,1,Kg
